variant,variant_label,turn_difficulty,turn_difficulty_label,grid_level,subdivision,visual_condition,visual_condition_label,n_runs,n_rows,mean_turn_count,mean_precision,std_precision,sample_std_precision,min_precision,max_precision,mean_recall,std_recall,sample_std_recall,min_recall,max_recall,mean_f1,std_f1,sample_std_f1,min_f1,max_f1,mean_tile_accuracy,std_tile_accuracy,sample_std_tile_accuracy,min_tile_accuracy,max_tile_accuracy,mean_exact_match,std_exact_match,sample_std_exact_match,min_exact_match,max_exact_match,mean_missed_tile_rate,std_missed_tile_rate,sample_std_missed_tile_rate,min_missed_tile_rate,max_missed_tile_rate,mean_extra_tile_rate,std_extra_tile_rate,sample_std_extra_tile_rate,min_extra_tile_rate,max_extra_tile_rate,n_batches_for_inner_batch_std,mean_inner_batch_std_precision,mean_inner_batch_std_recall,mean_inner_batch_std_f1,mean_inner_batch_std_tile_accuracy,mean_inner_batch_std_exact_match,mean_inner_batch_std_missed_tile_rate,mean_inner_batch_std_extra_tile_rate
L2_grid,L2: Grid,very_hard,Very hard (>3 turns),2.0,4.0,grid,Grid,17,17,4.176470588235294,0.688064705882353,0.2444105777560193,0.2519326570265764,0.3,1.0,0.5534470588235294,0.23572483988415033,0.24297960335604063,0.0274,0.8158,0.5721588235294118,0.24544078250417753,0.2529945677747438,0.0533,0.8571,0.5534470588235294,0.23572483988415033,0.24297960335604063,0.0274,0.8158,0.0,0.0,0.0,0.0,0.0,0.4465529411764706,0.23572483988415033,0.24297960335604063,0.1842,0.9726,0.31193529411764703,0.24441057775601926,0.2519326570265764,0.0,0.7,6,0.09248562713026577,0.10857301458224759,0.11130595294654,0.10857301458224759,0.0,0.10857301458224762,0.09248562713026577
L0_grid_labels,L0: Grid + labels,easy,Easy (1 turn),0.0,1.0,grid_labels,Grid + labels,15,15,1.0,0.9604333333333331,0.08642426099706545,0.08945760900853436,0.6923,1.0,0.8572200000000001,0.1053968766140629,0.1090961319204306,0.6667,1.0,0.9008066666666666,0.07555404658623889,0.07820586812716683,0.75,1.0,0.8572200000000001,0.1053968766140629,0.1090961319204306,0.6667,1.0,0.2,0.4000000000000001,0.4140393356054126,0.0,1.0,0.14278000000000002,0.10539687661406291,0.10909613192043062,0.0,0.3333,0.03956666666666667,0.08642426099706545,0.08945760900853436,0.0,0.3077,5,0.015537493005272398,0.0314238253559302,0.0064299576635896746,0.0314238253559302,0.0,0.03142382535593018,0.015537493005272403
L0_grid_labels,L0: Grid + labels,medium,Medium (2 turns),0.0,1.0,grid_labels,Grid + labels,12,12,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L0_grid_labels,L0: Grid + labels,hard,Hard (3 turns),0.0,1.0,grid_labels,Grid + labels,15,15,3.0,0.9308133333333333,0.11809699328188766,0.1222420015885741,0.6667,1.0,0.7456866666666666,0.19949067101551946,0.20649246221685902,0.4,1.0,0.8043933333333335,0.14166513787410398,0.14663734890960795,0.5714,0.96,0.7456866666666666,0.19949067101551946,0.20649246221685902,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.2543133333333334,0.19949067101551946,0.20649246221685902,0.0,0.6,0.06918666666666667,0.11809699328188766,0.1222420015885741,0.0,0.3333,5,0.024172429415705587,0.04071049441551354,0.015157499096235922,0.04071049441551354,0.0,0.0407104944155135,0.024172429415705587
L0_grid_labels,L0: Grid + labels,very_hard,Very hard (>3 turns),0.0,1.0,grid_labels,Grid + labels,17,17,4.176470588235294,0.9934647058823529,0.02614117647058823,0.026945707941536588,0.8889,1.0,0.9771294117647059,0.035936901642378415,0.03704291033223975,0.9167,1.0,0.9846235294117648,0.021454453244346274,0.022114744216578795,0.9412,1.0,0.9771294117647059,0.035936901642378415,0.03704291033223975,0.9167,1.0,0.6470588235294118,0.47788461203740945,0.492592183071889,0.0,1.0,0.022870588235294115,0.0359369016423784,0.037042910332239734,0.0,0.0833,0.006535294117647059,0.02614117647058824,0.026945707941536598,0.0,0.1111,6,0.008728840376647269,0.01117799943031549,0.010420780412820416,0.01117799943031549,0.24046817359701056,0.01117799943031549,0.008728840376647269
L1_grid_labels,L1: Grid + labels,easy,Easy (1 turn),1.0,2.0,grid_labels,Grid + labels,15,15,1.0,0.9388933333333334,0.12346859501733856,0.1278021376227815,0.6667,1.0,0.5414333333333333,0.2610355548366714,0.27019746923491417,0.1176,0.8889,0.6584866666666666,0.24265700310429034,0.2511738608632522,0.2,0.9412,0.5414333333333333,0.2610355548366714,0.27019746923491417,0.1176,0.8889,0.0,0.0,0.0,0.0,0.0,0.4585666666666666,0.26103555483667135,0.2701974692349141,0.1111,0.8824,0.061106666666666656,0.12346859501733855,0.1278021376227815,0.0,0.3333,5,0.007853599316378591,0.05051654143339381,0.05157699306191614,0.05051654143339381,0.0,0.050516541433393805,0.007853599316378586
L1_grid_labels,L1: Grid + labels,medium,Medium (2 turns),1.0,2.0,grid_labels,Grid + labels,12,12,2.0,0.9785333333333334,0.050433030402262706,0.05267558229101002,0.8333,1.0,0.9278583333333335,0.0655549064821916,0.06846986674088938,0.8,1.0,0.9501750000000002,0.03874345374812799,0.0404662176726127,0.8889,1.0,0.9278583333333335,0.0655549064821916,0.06846986674088938,0.8,1.0,0.25,0.4330127018922193,0.45226701686664544,0.0,1.0,0.07214166666666666,0.06555490648219162,0.0684698667408894,0.0,0.2,0.021466666666666665,0.05043303040226272,0.052675582291010034,0.0,0.1667,4,0.030358451138942436,0.04839027283214087,0.026323753320687475,0.04839027283214087,0.23570226039551584,0.048390272832140875,0.030358451138942436
L1_grid_labels,L1: Grid + labels,hard,Hard (3 turns),1.0,2.0,grid_labels,Grid + labels,15,15,3.0,0.5893066666666666,0.22070291484758922,0.22844922057418446,0.2667,1.0,0.5582600000000001,0.33902002458065317,0.35091906433576064,0.1579,1.0,0.54456,0.2708832117352421,0.2803907625337998,0.2,0.9677,0.5582600000000001,0.33902002458065317,0.35091906433576064,0.1579,1.0,0.0,0.0,0.0,0.0,0.0,0.44173999999999997,0.33902002458065317,0.35091906433576064,0.0,0.8421,0.4106933333333333,0.22070291484758922,0.22844922057418443,0.0,0.7333,5,0.1429095340676872,0.06366146630887713,0.07835717538424206,0.06366146630887713,0.0,0.06366146630887712,0.1429095340676872
L1_grid_labels,L1: Grid + labels,very_hard,Very hard (>3 turns),1.0,2.0,grid_labels,Grid + labels,17,17,4.176470588235294,0.8930941176470588,0.15883146995400774,0.16371973182312294,0.4808,1.0,0.5800588235294118,0.2871871495954051,0.2960257380254788,0.1389,1.0,0.6448411764705881,0.25012005366558426,0.2578178500870904,0.2439,1.0,0.5800588235294118,0.2871871495954051,0.2960257380254788,0.1389,1.0,0.11764705882352941,0.32218973970892123,0.3321055820775357,0.0,1.0,0.4199411764705882,0.2871871495954051,0.2960257380254788,0.0,0.8611,0.10690588235294118,0.15883146995400774,0.16371973182312294,0.0,0.5192,6,0.04466948891032832,0.044706938755891094,0.03510000427447344,0.044706938755891094,0.07856742013183861,0.0447069387558911,0.04466948891032831
L2_grid_labels,L2: Grid + labels,easy,Easy (1 turn),2.0,4.0,grid_labels,Grid + labels,15,15,1.0,0.7288933333333334,0.3562222086781726,0.368725016522508,0.0,1.0,0.2769533333333333,0.21921573503945582,0.2269098432249711,0.0,0.6842,0.3760666666666667,0.26001328598532975,0.26913932044486516,0.0,0.8125,0.2769533333333333,0.21921573503945582,0.2269098432249711,0.0,0.6842,0.0,0.0,0.0,0.0,0.0,0.7230466666666666,0.2192157350394558,0.22690984322497107,0.3158,1.0,0.2711066666666666,0.3562222086781726,0.368725016522508,0.0,1.0,5,0.2690269495128987,0.10621546075920374,0.13473716141096226,0.10621546075920374,0.0,0.10621546075920371,0.26902694951289874
L2_grid_labels,L2: Grid + labels,medium,Medium (2 turns),2.0,4.0,grid_labels,Grid + labels,12,12,2.0,0.6457499999999999,0.41856164520095884,0.4371733804172603,0.0,1.0,0.2793333333333333,0.3308300654750445,0.3455407339053947,0.0,1.0,0.302475,0.26130407614182627,0.2729232063986298,0.0,0.96,0.2793333333333333,0.3308300654750445,0.3455407339053947,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7206666666666668,0.3308300654750445,0.3455407339053947,0.0,1.0,0.35424999999999995,0.4185616452009588,0.4371733804172602,0.0,1.0,4,0.14145647309143675,0.21721055895541053,0.16757271051662412,0.21721055895541053,0.0,0.21721055895541055,0.14145647309143675
L2_grid_labels,L2: Grid + labels,hard,Hard (3 turns),2.0,4.0,grid_labels,Grid + labels,15,15,3.0,0.4827933333333334,0.32026631723544635,0.33150713301239126,0.0,1.0,0.22700666666666666,0.23328686908801555,0.24147485070667202,0.0,0.6,0.28775999999999996,0.26984064383755585,0.27931160223459595,0.0,0.7083,0.22700666666666666,0.23328686908801555,0.24147485070667202,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.7729933333333334,0.2332868690880155,0.24147485070667196,0.4,1.0,0.5172066666666667,0.3202663172354464,0.33150713301239126,0.0,1.0,5,0.13917262538524805,0.04166555737045796,0.04298847285374109,0.04166555737045796,0.0,0.041665557370457976,0.13917262538524805
L2_grid_labels,L2: Grid + labels,very_hard,Very hard (>3 turns),2.0,4.0,grid_labels,Grid + labels,17,17,4.176470588235294,0.5591941176470588,0.3314003771352681,0.34159968982455957,0.0,1.0,0.22488823529411764,0.20317328993729622,0.20942623367892851,0.0,0.6,0.290435294117647,0.2429416486250931,0.25041851953573757,0.0,0.6774,0.22488823529411764,0.20317328993729622,0.20942623367892851,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.7751117647058824,0.20317328993729622,0.20942623367892851,0.4,1.0,0.4408058823529412,0.3314003771352681,0.3415996898245595,0.0,1.0,6,0.15505708321863423,0.05939832821404129,0.058172015111124374,0.05939832821404129,0.0,0.05939832821404128,0.15505708321863423
