batch_id,run_id,variant,variant_label,grid_level,subdivision,visual_condition,visual_condition_label,turn_count,turn_difficulty,turn_difficulty_label,model,status,metric,value
case3_batch_20260619_194452,case3_batch_20260619_194452_run_001,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,4,very_hard,Very hard (>3 turns),gpt-5.5,completed,precision,0.0
case3_batch_20260619_194452,case3_batch_20260619_194452_run_002,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,4,very_hard,Very hard (>3 turns),gpt-5.5,completed,precision,0.0526
case3_batch_20260619_194452,case3_batch_20260619_194452_run_003,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,4,very_hard,Very hard (>3 turns),gpt-5.5,completed,precision,0.0526
case3_batch_20260619_211455,case3_batch_20260619_211455_run_001,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,1,easy,Easy (1 turn),gpt-5.5,completed,precision,0.0769
case3_batch_20260619_211455,case3_batch_20260619_211455_run_002,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,1,easy,Easy (1 turn),gpt-5.5,completed,precision,0.0769
case3_batch_20260619_211455,case3_batch_20260619_211455_run_003,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,1,easy,Easy (1 turn),gpt-5.5,completed,precision,0.0769
case3_batch_20260619_224011,case3_batch_20260619_224011_run_001,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,4,very_hard,Very hard (>3 turns),gpt-5.5,completed,precision,0.9
case3_batch_20260619_224011,case3_batch_20260619_224011_run_002,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,4,very_hard,Very hard (>3 turns),gpt-5.5,completed,precision,0.9048
case3_batch_20260619_224011,case3_batch_20260619_224011_run_003,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,4,very_hard,Very hard (>3 turns),gpt-5.5,completed,precision,0.9
case3_batch_20260620_072523,case3_batch_20260620_072523_run_001,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,3,hard,Hard (3 turns),gpt-5.5,completed,precision,1.0
case3_batch_20260620_072523,case3_batch_20260620_072523_run_002,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,3,hard,Hard (3 turns),gpt-5.5,completed,precision,1.0
case3_batch_20260620_072523,case3_batch_20260620_072523_run_003,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,3,hard,Hard (3 turns),gpt-5.5,completed,precision,1.0
case3_batch_20260620_092907,case3_batch_20260620_092907_run_002,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,4,very_hard,Very hard (>3 turns),gpt-5.5,completed,precision,0.973
case3_batch_20260620_092907,case3_batch_20260620_092907_run_003,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,4,very_hard,Very hard (>3 turns),gpt-5.5,completed,precision,0.973
case3_batch_20260618_104034,case3_batch_20260618_104034_run_001,L2_path_only,L2: No annotations,2.0,4.0,path_only,No annotations,1,easy,Easy (1 turn),gpt-5.5,completed,precision,0.0
case3_batch_20260618_104034,case3_batch_20260618_104034_run_002,L2_path_only,L2: No annotations,2.0,4.0,path_only,No annotations,1,easy,Easy (1 turn),gpt-5.5,completed,precision,0.0
case3_batch_20260618_104034,case3_batch_20260618_104034_run_003,L2_path_only,L2: No annotations,2.0,4.0,path_only,No annotations,1,easy,Easy (1 turn),gpt-5.5,completed,precision,0.0
case3_batch_20260618_112624,case3_batch_20260618_112624_run_001,L2_path_only,L2: No annotations,2.0,4.0,path_only,No annotations,3,hard,Hard (3 turns),gpt-5.5,completed,precision,0.2632
